PORT_CODE,DATE,IEC,HS_CODE,GOODS_DESCRIPTION,MASTER_CATEGORY,MODEL_NAME,MODEL_NUMBER,CAPACITY,QTY,UNIT_OF_MEASURE,PRICE,UNIT_OF_MEASURE.1,QUANTITY,UNIT,UNIT_PRICE_INR,TOTAL_VALUE_INR,UNIT_PRICE_USD,TOTAL_VALUE_USD,DUTY_PAID_INR,YEAR,MONTH,STD_UNIT,EXTRACTED_MODEL,EXTRACTED_MATERIAL,EMBEDDED_QTY,EXTRACTED_USD_PRICE,GRAND_TOTAL_INR,LANDED_COST_PER_UNIT,CATEGORY,SUB_CATEGORY,SUPPLIER_NAME
INNSA1,2025-08-23,301049751,73231000,STEEL SCRUBBER (8001-12) (QTY:263520 PCS/USD:0.078 PER PCS) STEEL SCRUBBER (8001-12) (QTY:263520 PCS/USD:0.078 PER PCS),,,,,,,,,4758.0,KGS,399.7661097,1902087.15,4.547964843,21639.21672,836157.4,2025,8,KGS,STEEL,STEEL,263520.0,0.078,2738244.55,575.5032681799075,CLEANING,STANDARD,Global Supplier Group-1
INNSA1,2025-08-23,301049751,73231000,STEEL SCRUBBER 6 PCS SET (GT001) (QTY:1260 PCS/USD:0.238 PERPCS)STEEL SCRUBBER 6 PCS SET (GT001) (QTY:1260 PCS/USD:0.238 PER,,,,,,,,,180.0,KGS,154.1690556,27750.43,1.75391417,315.7045506,12199.1,2025,8,KGS,STEEL,STEEL,1260.0,0.238,39949.53,221.94183333333334,CLEANING,STANDARD,Global Supplier Group-2
INNSA1,2025-08-20,301049751,73239990,STEEL SPRINKLER (AM-430) (QTY: 30072 PCS/USD 0.578 PER PCS) STEEL SPRINKLER (AM-430) (QTY: 30072 PCS/USD 0.578 PER PCS),,,,,,,,,5012.0,KGS,326.0750738,1634288.27,3.680305574,18445.69153,598803.3,2025,8,KGS,STEEL,STEEL,30072.0,0.578,2233091.5700000003,445.54899640861936,GENERAL,STANDARD,Global Supplier Group-1
INNSA1,2025-08-20,301049751,73239990,STEEL SALT BOTTLE (NP-19) (QTY: 36000 PCS/USD 0.445 PER PCS) STEEL SALT BOTTLE (NP-19) (QTY: 36000 PCS/USD 0.445 PER PCS),,,,,,,,,5600.0,KGS,268.9756429,1506263.6,3.03584247,17000.71783,551895.0,2025,8,KGS,STEEL,STEEL,36000.0,0.445,2058158.6,367.5283214285715,GENERAL,STANDARD,Global Supplier Group-4
INNSA1,2025-08-16,301049751,73231000,"STEEL SCRUBBER 6PCS SET (OKS-4156) (QTY:98,400 SET/USD:0.228PER SET)STEEL SCRUBBER 6PCS SET (OKS-4156) (QTY:98,400 SET/USD:0.228",,,,,,,,,8856.0,KGS,235.9864363,2089895.88,2.663503796,23587.98962,918718.2,2025,8,KGS,STEEL,STEEL,98.0,0.228,3008614.08,339.7260704607046,CLEANING,STANDARD,Global Supplier Group-2
INNSA1,2025-08-07,301049751,73239990,STEEL BASKET SQUARE (SY-845-6) (QTY: 4400 PCS/USD 0.702 PERPCS)STEEL BASKET SQUARE (SY-845-6) (QTY: 4400 PCS/USD 0.702 PER,,,,,,,,,660.0,KGS,436.1330455,287847.81,5.024574256,3316.219009,105467.5,2025,8,KGS,STEEL,STEEL,4400.0,0.702,393315.31,595.9322878787879,GENERAL,STANDARD,Global Supplier Group-1
INNSA1,2025-08-01,301049751,73231000,STEEL SCRUBBER 2 PCS SET (8001-2) (QTY:336000 SET/USD:0.139PER SET)STEEL SCRUBBER 2 PCS SET (8001-2) (QTY:336000 SET/USD:0.139,,,,,,,,,9800.0,KGS,438.0730643,4293116.03,5.046924704,49459.8621,1887253.8,2025,8,KGS,STEEL,STEEL,336000.0,0.139,6180369.83,630.6499826530612,CLEANING,STANDARD,Global Supplier Group-1
INNSA1,2025-07-29,301049751,73239990,"STEEL TEA STRAINER BIG (SB-12) (QTY:1,332 PCS/USD:0.973 PERPCS)STEEL TEA STRAINER BIG (SB-12) (QTY:1,332 PCS/USD:0.973 PER",,,,,,,,,325.6,KGS,371.7940418,121056.14,4.283341495,1394.655991,44354.9,2025,7,KGS,STEEL,STEEL,1.0,0.973,165411.04,508.0191646191646,GENERAL,STANDARD,Global Supplier Group-4
INNSA1,2025-07-29,301049751,73239990,"STEEL TEA STRAINER (NP-55) (QTY:1,00,800 PCS/USD:0.269 PER PCS)STEEL TEA STRAINER (NP-55) (QTY:1,00,800 PCS/USD:0.269 PER P",,,,,,,,,4620.0,KGS,548.2002857,2532685.32,6.315671494,29178.4023,927975.9,2025,7,KGS,STEEL,STEEL,1.0,0.269,3460661.2199999997,749.0608701298701,GENERAL,STANDARD,Global Supplier Group-4
INNSA1,2025-07-28,301049751,73239990,"STEEL BASKET SQUARE (SY-845-6) (QTY: 82,800 PCS/USD:0.7012 PCS)STEEL BASKET SQUARE (SY-845-6) (QTY: 82,800 PCS/USD:0.7012 P",,,,,,,,,12006.0,KGS,448.1221789,5380154.88,5.162697914,61983.35115,1971288.8,2025,7,KGS,STEEL,STEEL,82.0,0.7012,7351443.68,612.3141495918707,GENERAL,STANDARD,Global Supplier Group-3
INNSA1,2025-07-23,301049751,73239990,STEEL CUTLERY HOLDER (H2740) (QTY: 24960 NOS/USD 1.55 PER NOS)STEEL CUTLERY HOLDER (H2740) (QTY: 24960 NOS/USD 1.55 PER NO,,,,,,,,,9776.0,KGS,361.08518,3529968.72,4.159967512,40667.8424,1293380.5,2025,7,KGS,STEEL,STEEL,24960.0,1.55,4823349.220000001,493.3867860065467,KITCHENWARE,STANDARD,Global Supplier Group-5
INNSA1,2025-07-22,301049751,73231000,STEEL SCRUBBER 2 PCS SET (8001-2) (QTY:168000 SETS/USD:0.139PER PCS)STEEL SCRUBBER 2 PCS SET (8001-2) (QTY:168000 SETS/USD:0.139,,,,,,,,,4900.0,KGS,448.6994878,2198627.49,5.169348937,25329.80979,966516.6,2025,7,KGS,STEEL,STEEL,168000.0,0.139,3165144.0900000003,645.9477734693878,CLEANING,STANDARD,Global Supplier Group-2
INNSA1,2025-07-17,301049751,73239990,STEEL SPRINKLER (AM-430) (QTY: 2880 PCS/USD 0.579 PER PCS) STEEL SPRINKLER (AM-430) (QTY: 2880 PCS/USD 0.579 PER PCS),,,,,,,,,528.0,KGS,297.1403977,156890.13,3.447104382,1820.071114,57484.5,2025,7,KGS,STEEL,STEEL,2880.0,0.579,214374.63,406.01255681818185,GENERAL,STANDARD,Global Supplier Group-4
